Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Loading external LHS samples from pkl...
Loaded 500000 LHS samples.
Running sampling...
[Anneal] n_proc=1 at iter 3847. Setting S=10. Baseline max_ld=2.92401
[Anneal] S=10 fixed. max_ld: 2.92401 -> 2.92401 at iter 4847
[Anneal] S=10 fixed. max_ld: 2.92401 -> 2.92401 at iter 5847
[Anneal] S=10 fixed. max_ld: 2.92401 -> 3.39136 at iter 6847
[Anneal] S=10 fixed. max_ld: 3.39136 -> 3.39136 at iter 7847
[Anneal] S=10 fixed. max_ld: 3.39136 -> 3.39136 at iter 8847
[Anneal] S=10 fixed. max_ld: 3.39136 -> 3.39136 at iter 9847
[Anneal] S=10 fixed. max_ld: 3.39136 -> 3.39136 at iter 10847
[Anneal] S=10 fixed. max_ld: 3.39136 -> 12.07296 at iter 11847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 12847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 13847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 14847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 15847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 16847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 17847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 18847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 19847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 20847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 21847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 22847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 23847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.07296 at iter 24847
[Anneal] S=10 fixed. max_ld: 12.07296 -> 12.59046 at iter 25847
[Anneal] S=10 fixed. max_ld: 12.59046 -> 17.15403 at iter 26847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 17.15403 at iter 27847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 17.15403 at iter 28847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 17.15403 at iter 29847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 17.15403 at iter 30847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 17.15403 at iter 31847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 17.15403 at iter 32847
[Anneal] S=10 fixed. max_ld: 17.15403 -> 19.59315 at iter 33847
[Anneal] S=10 fixed. max_ld: 19.59315 -> 20.49374 at iter 34847
[Anneal] S=10 fixed. max_ld: 20.49374 -> 22.72190 at iter 35847
[Anneal] S=10 fixed. max_ld: 22.72190 -> 22.72190 at iter 36847
[Anneal] S=10 fixed. max_ld: 22.72190 -> 22.72190 at iter 37847
