Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Loading external LHS samples from pkl...
Loaded 500000 LHS samples.
Running sampling...
[Anneal] n_proc=1 at iter 4060. Setting S=2, alpha=1000. Baseline max_ld=2.78171
[Anneal] max_ld improved (2.78171 -> 4.09848). S: 2 -> 3 at iter 5060
[Anneal] max_ld improved (4.09848 -> 8.58383). S: 3 -> 4 at iter 6060
[Anneal] max_ld improved (8.58383 -> 11.05197). S: 4 -> 5 at iter 7060
[Anneal] max_ld improved (11.05197 -> 26.19276). S: 5 -> 6 at iter 8060
[Anneal] max_ld improved (26.19276 -> 34.62491). S: 6 -> 7 at iter 9060
[Anneal] max_ld improved (34.62491 -> 40.97378). S: 7 -> 8 at iter 10060
[Anneal] max_ld improved (40.97378 -> 46.90072). S: 8 -> 9 at iter 11060
[Anneal] max_ld improved (46.90072 -> 52.76992). S: 9 -> 10 at iter 12060
[Anneal] max_ld not improved (52.76992 -> 58.91351). Staying S=10 (stuck=1/5)
[Anneal] max_ld not improved (58.91351 -> 58.96291). Staying S=10 (stuck=2/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=3/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=4/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=5/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=6/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=7/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=8/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=9/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=10/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=11/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=12/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=13/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=14/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=15/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=16/5)
[Anneal] max_ld not improved (58.96291 -> 58.96291). Staying S=10 (stuck=17/5)
