dt=10s  T=0.25yr
Building waveform generators...
Initializing loglike...
SNR = 5.942134448355127
Resuming from checkpoint: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_205000.pkl
Resuming from sample 205000/500000
Evaluating 295000 remaining samples in 2950 batches of 100  (checkpoint every 10 batches)
  [205100/500000]  elapsed=33s  rate=3.0/s  eta=98387s  finite=205100
  [205200/500000]  elapsed=63s  rate=3.2/s  eta=93477s  finite=205200
  [205300/500000]  elapsed=96s  rate=3.1/s  eta=94388s  finite=205300
  [205400/500000]  elapsed=127s  rate=3.1/s  eta=93616s  finite=205400
  [205500/500000]  elapsed=159s  rate=3.1/s  eta=93945s  finite=205500
  [205600/500000]  elapsed=191s  rate=3.1/s  eta=93633s  finite=205600
  [205700/500000]  elapsed=221s  rate=3.2/s  eta=92869s  finite=205700
  [205800/500000]  elapsed=252s  rate=3.2/s  eta=92683s  finite=205800
  [205900/500000]  elapsed=282s  rate=3.2/s  eta=92289s  finite=205900
  [206000/500000]  elapsed=314s  rate=3.2/s  eta=92377s  finite=206000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_206000.pkl
  [206100/500000]  elapsed=347s  rate=3.2/s  eta=92776s  finite=206100
  [206200/500000]  elapsed=379s  rate=3.2/s  eta=92905s  finite=206200
  [206300/500000]  elapsed=412s  rate=3.2/s  eta=93132s  finite=206300
  [206400/500000]  elapsed=446s  rate=3.1/s  eta=93517s  finite=206400
  [206500/500000]  elapsed=478s  rate=3.1/s  eta=93493s  finite=206500
  [206600/500000]  elapsed=509s  rate=3.1/s  eta=93292s  finite=206600
  [206700/500000]  elapsed=540s  rate=3.1/s  eta=93185s  finite=206700
  [206800/500000]  elapsed=571s  rate=3.2/s  eta=93079s  finite=206800
  [206900/500000]  elapsed=602s  rate=3.2/s  eta=92922s  finite=206900
  [207000/500000]  elapsed=634s  rate=3.2/s  eta=92856s  finite=207000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_207000.pkl
  [207100/500000]  elapsed=665s  rate=3.2/s  eta=92752s  finite=207100
  [207200/500000]  elapsed=697s  rate=3.2/s  eta=92795s  finite=207200
  [207300/500000]  elapsed=730s  rate=3.2/s  eta=92870s  finite=207300
  [207400/500000]  elapsed=761s  rate=3.2/s  eta=92718s  finite=207400
  [207500/500000]  elapsed=791s  rate=3.2/s  eta=92584s  finite=207500
  [207600/500000]  elapsed=822s  rate=3.2/s  eta=92476s  finite=207600
  [207700/500000]  elapsed=852s  rate=3.2/s  eta=92276s  finite=207700
  [207800/500000]  elapsed=884s  rate=3.2/s  eta=92221s  finite=207800
  [207900/500000]  elapsed=914s  rate=3.2/s  eta=92109s  finite=207900
  [208000/500000]  elapsed=946s  rate=3.2/s  eta=92113s  finite=208000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_208000.pkl
  [208100/500000]  elapsed=979s  rate=3.2/s  eta=92194s  finite=208100
  [208200/500000]  elapsed=1011s  rate=3.2/s  eta=92180s  finite=208200
  [208300/500000]  elapsed=1042s  rate=3.2/s  eta=92135s  finite=208300
  [208400/500000]  elapsed=1075s  rate=3.2/s  eta=92163s  finite=208400
  [208500/500000]  elapsed=1107s  rate=3.2/s  eta=92163s  finite=208500
  [208600/500000]  elapsed=1138s  rate=3.2/s  eta=92131s  finite=208600
  [208700/500000]  elapsed=1171s  rate=3.2/s  eta=92198s  finite=208700
  [208800/500000]  elapsed=1203s  rate=3.2/s  eta=92165s  finite=208800
  [208900/500000]  elapsed=1235s  rate=3.2/s  eta=92195s  finite=208900
  [209000/500000]  elapsed=1267s  rate=3.2/s  eta=92171s  finite=209000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_209000.pkl
  [209100/500000]  elapsed=1299s  rate=3.2/s  eta=92133s  finite=209100
  [209200/500000]  elapsed=1330s  rate=3.2/s  eta=92083s  finite=209200
  [209300/500000]  elapsed=1361s  rate=3.2/s  eta=91992s  finite=209300
  [209400/500000]  elapsed=1392s  rate=3.2/s  eta=91908s  finite=209400
  [209500/500000]  elapsed=1425s  rate=3.2/s  eta=91969s  finite=209500
  [209600/500000]  elapsed=1456s  rate=3.2/s  eta=91895s  finite=209600
  [209700/500000]  elapsed=1487s  rate=3.2/s  eta=91853s  finite=209700
  [209800/500000]  elapsed=1518s  rate=3.2/s  eta=91768s  finite=209800
  [209900/500000]  elapsed=1550s  rate=3.2/s  eta=91774s  finite=209900
  [210000/500000]  elapsed=1581s  rate=3.2/s  eta=91721s  finite=210000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_210000.pkl
  [210100/500000]  elapsed=1613s  rate=3.2/s  eta=91665s  finite=210100
  [210200/500000]  elapsed=1643s  rate=3.2/s  eta=91582s  finite=210200
  [210300/500000]  elapsed=1675s  rate=3.2/s  eta=91564s  finite=210300
  [210400/500000]  elapsed=1707s  rate=3.2/s  eta=91529s  finite=210400
  [210500/500000]  elapsed=1739s  rate=3.2/s  eta=91536s  finite=210500
  [210600/500000]  elapsed=1770s  rate=3.2/s  eta=91464s  finite=210600
  [210700/500000]  elapsed=1801s  rate=3.2/s  eta=91408s  finite=210700
  [210800/500000]  elapsed=1833s  rate=3.2/s  eta=91374s  finite=210800
  [210900/500000]  elapsed=1864s  rate=3.2/s  eta=91321s  finite=210900
  [211000/500000]  elapsed=1897s  rate=3.2/s  eta=91364s  finite=211000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_211000.pkl
  [211100/500000]  elapsed=1930s  rate=3.2/s  eta=91396s  finite=211100
  [211200/500000]  elapsed=1960s  rate=3.2/s  eta=91310s  finite=211200
  [211300/500000]  elapsed=1992s  rate=3.2/s  eta=91272s  finite=211300
  [211400/500000]  elapsed=2022s  rate=3.2/s  eta=91193s  finite=211400
  [211500/500000]  elapsed=2053s  rate=3.2/s  eta=91120s  finite=211500
  [211600/500000]  elapsed=2084s  rate=3.2/s  eta=91074s  finite=211600
  [211700/500000]  elapsed=2114s  rate=3.2/s  eta=90983s  finite=211700
  [211800/500000]  elapsed=2145s  rate=3.2/s  eta=90931s  finite=211800
  [211900/500000]  elapsed=2177s  rate=3.2/s  eta=90902s  finite=211900
  [212000/500000]  elapsed=2209s  rate=3.2/s  eta=90869s  finite=212000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_212000.pkl
  [212100/500000]  elapsed=2240s  rate=3.2/s  eta=90833s  finite=212100
  [212200/500000]  elapsed=2271s  rate=3.2/s  eta=90780s  finite=212200
  [212300/500000]  elapsed=2303s  rate=3.2/s  eta=90759s  finite=212300
  [212400/500000]  elapsed=2334s  rate=3.2/s  eta=90694s  finite=212400
  [212500/500000]  elapsed=2365s  rate=3.2/s  eta=90659s  finite=212500
  [212600/500000]  elapsed=2396s  rate=3.2/s  eta=90608s  finite=212600
  [212700/500000]  elapsed=2427s  rate=3.2/s  eta=90558s  finite=212700
  [212800/500000]  elapsed=2458s  rate=3.2/s  eta=90496s  finite=212800
  [212900/500000]  elapsed=2488s  rate=3.2/s  eta=90424s  finite=212900
  [213000/500000]  elapsed=2519s  rate=3.2/s  eta=90351s  finite=213000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_213000.pkl
  [213100/500000]  elapsed=2550s  rate=3.2/s  eta=90306s  finite=213100
  [213200/500000]  elapsed=2581s  rate=3.2/s  eta=90289s  finite=213200
  [213300/500000]  elapsed=2612s  rate=3.2/s  eta=90239s  finite=213300
  [213400/500000]  elapsed=2644s  rate=3.2/s  eta=90195s  finite=213400
  [213500/500000]  elapsed=2674s  rate=3.2/s  eta=90142s  finite=213500
  [213600/500000]  elapsed=2706s  rate=3.2/s  eta=90112s  finite=213600
  [213700/500000]  elapsed=2738s  rate=3.2/s  eta=90101s  finite=213700
  [213800/500000]  elapsed=2770s  rate=3.2/s  eta=90074s  finite=213800
  [213900/500000]  elapsed=2800s  rate=3.2/s  eta=90010s  finite=213900
  [214000/500000]  elapsed=2831s  rate=3.2/s  eta=89978s  finite=214000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_214000.pkl
  [214100/500000]  elapsed=2864s  rate=3.2/s  eta=89974s  finite=214100
  [214200/500000]  elapsed=2895s  rate=3.2/s  eta=89944s  finite=214200
  [214300/500000]  elapsed=2927s  rate=3.2/s  eta=89904s  finite=214300
  [214400/500000]  elapsed=2959s  rate=3.2/s  eta=89895s  finite=214400
  [214500/500000]  elapsed=2990s  rate=3.2/s  eta=89854s  finite=214500
  [214600/500000]  elapsed=3020s  rate=3.2/s  eta=89786s  finite=214600
  [214700/500000]  elapsed=3051s  rate=3.2/s  eta=89748s  finite=214700
  [214800/500000]  elapsed=3083s  rate=3.2/s  eta=89732s  finite=214800
  [214900/500000]  elapsed=3113s  rate=3.2/s  eta=89657s  finite=214900
  [215000/500000]  elapsed=3146s  rate=3.2/s  eta=89650s  finite=215000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_215000.pkl
  [215100/500000]  elapsed=3178s  rate=3.2/s  eta=89649s  finite=215100
  [215200/500000]  elapsed=3209s  rate=3.2/s  eta=89595s  finite=215200
  [215300/500000]  elapsed=3240s  rate=3.2/s  eta=89546s  finite=215300
  [215400/500000]  elapsed=3272s  rate=3.2/s  eta=89526s  finite=215400
  [215500/500000]  elapsed=3303s  rate=3.2/s  eta=89491s  finite=215500
  [215600/500000]  elapsed=3333s  rate=3.2/s  eta=89436s  finite=215600
  [215700/500000]  elapsed=3365s  rate=3.2/s  eta=89415s  finite=215700
  [215800/500000]  elapsed=3397s  rate=3.2/s  eta=89379s  finite=215800
  [215900/500000]  elapsed=3427s  rate=3.2/s  eta=89328s  finite=215900
  [216000/500000]  elapsed=3459s  rate=3.2/s  eta=89297s  finite=216000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_216000.pkl
  [216100/500000]  elapsed=3490s  rate=3.2/s  eta=89254s  finite=216100
  [216200/500000]  elapsed=3521s  rate=3.2/s  eta=89213s  finite=216200
  [216300/500000]  elapsed=3553s  rate=3.2/s  eta=89192s  finite=216300
  [216400/500000]  elapsed=3584s  rate=3.2/s  eta=89158s  finite=216400
  [216500/500000]  elapsed=3615s  rate=3.2/s  eta=89121s  finite=216500
  [216600/500000]  elapsed=3646s  rate=3.2/s  eta=89080s  finite=216600
  [216700/500000]  elapsed=3678s  rate=3.2/s  eta=89061s  finite=216700
  [216800/500000]  elapsed=3710s  rate=3.2/s  eta=89034s  finite=216800
  [216900/500000]  elapsed=3740s  rate=3.2/s  eta=88983s  finite=216900
  [217000/500000]  elapsed=3771s  rate=3.2/s  eta=88931s  finite=217000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_217000.pkl
  [217100/500000]  elapsed=3803s  rate=3.2/s  eta=88912s  finite=217100
  [217200/500000]  elapsed=3834s  rate=3.2/s  eta=88866s  finite=217200
  [217300/500000]  elapsed=3865s  rate=3.2/s  eta=88831s  finite=217300
  [217400/500000]  elapsed=3897s  rate=3.2/s  eta=88808s  finite=217400
  [217500/500000]  elapsed=3928s  rate=3.2/s  eta=88773s  finite=217500
  [217600/500000]  elapsed=3959s  rate=3.2/s  eta=88727s  finite=217600
  [217700/500000]  elapsed=3990s  rate=3.2/s  eta=88685s  finite=217700
  [217800/500000]  elapsed=4021s  rate=3.2/s  eta=88655s  finite=217800
  [217900/500000]  elapsed=4052s  rate=3.2/s  eta=88619s  finite=217900
  [218000/500000]  elapsed=4084s  rate=3.2/s  eta=88583s  finite=218000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_218000.pkl
  [218100/500000]  elapsed=4115s  rate=3.2/s  eta=88558s  finite=218100
  [218200/500000]  elapsed=4148s  rate=3.2/s  eta=88546s  finite=218200
  [218300/500000]  elapsed=4179s  rate=3.2/s  eta=88507s  finite=218300
  [218400/500000]  elapsed=4210s  rate=3.2/s  eta=88483s  finite=218400
  [218500/500000]  elapsed=4241s  rate=3.2/s  eta=88432s  finite=218500
  [218600/500000]  elapsed=4271s  rate=3.2/s  eta=88372s  finite=218600
  [218700/500000]  elapsed=4302s  rate=3.2/s  eta=88329s  finite=218700
  [218800/500000]  elapsed=4334s  rate=3.2/s  eta=88311s  finite=218800
  [218900/500000]  elapsed=4365s  rate=3.2/s  eta=88275s  finite=218900
  [219000/500000]  elapsed=4397s  rate=3.2/s  eta=88258s  finite=219000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_219000.pkl
  [219100/500000]  elapsed=4429s  rate=3.2/s  eta=88233s  finite=219100
  [219200/500000]  elapsed=4459s  rate=3.2/s  eta=88185s  finite=219200
  [219300/500000]  elapsed=4491s  rate=3.2/s  eta=88146s  finite=219300
  [219400/500000]  elapsed=4522s  rate=3.2/s  eta=88116s  finite=219400
  [219500/500000]  elapsed=4556s  rate=3.2/s  eta=88128s  finite=219500
  [219600/500000]  elapsed=4587s  rate=3.2/s  eta=88088s  finite=219600
  [219700/500000]  elapsed=4617s  rate=3.2/s  eta=88037s  finite=219700
  [219800/500000]  elapsed=4648s  rate=3.2/s  eta=88001s  finite=219800
  [219900/500000]  elapsed=4678s  rate=3.2/s  eta=87947s  finite=219900
  [220000/500000]  elapsed=4709s  rate=3.2/s  eta=87904s  finite=220000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_220000.pkl
  [220100/500000]  elapsed=4740s  rate=3.2/s  eta=87863s  finite=220100
  [220200/500000]  elapsed=4770s  rate=3.2/s  eta=87808s  finite=220200
  [220300/500000]  elapsed=4801s  rate=3.2/s  eta=87761s  finite=220300
  [220400/500000]  elapsed=4832s  rate=3.2/s  eta=87734s  finite=220400
  [220500/500000]  elapsed=4864s  rate=3.2/s  eta=87708s  finite=220500
  [220600/500000]  elapsed=4894s  rate=3.2/s  eta=87647s  finite=220600
  [220700/500000]  elapsed=4924s  rate=3.2/s  eta=87591s  finite=220700
  [220800/500000]  elapsed=4955s  rate=3.2/s  eta=87552s  finite=220800
  [220900/500000]  elapsed=4984s  rate=3.2/s  eta=87493s  finite=220900
  [221000/500000]  elapsed=5015s  rate=3.2/s  eta=87453s  finite=221000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_221000.pkl
  [221100/500000]  elapsed=5046s  rate=3.2/s  eta=87410s  finite=221100
  [221200/500000]  elapsed=5077s  rate=3.2/s  eta=87366s  finite=221200
  [221300/500000]  elapsed=5109s  rate=3.2/s  eta=87359s  finite=221300
  [221400/500000]  elapsed=5141s  rate=3.2/s  eta=87326s  finite=221400
  [221500/500000]  elapsed=5172s  rate=3.2/s  eta=87295s  finite=221500
  [221600/500000]  elapsed=5203s  rate=3.2/s  eta=87253s  finite=221600
  [221700/500000]  elapsed=5234s  rate=3.2/s  eta=87228s  finite=221700
  [221800/500000]  elapsed=5265s  rate=3.2/s  eta=87189s  finite=221800
  [221900/500000]  elapsed=5297s  rate=3.2/s  eta=87169s  finite=221900
  [222000/500000]  elapsed=5328s  rate=3.2/s  eta=87131s  finite=222000
  -> checkpoint saved: /scratch/e1498138/lhs/lhs_snr32_checkpoints/lhs_snr32_ckpt_222000.pkl
