Using dt = 10 seconds, T = 1.0 years
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Done initializing loglike class.
SNR: 14.0812757390131
Loading paris2 sampler...
stage 2 maxld: 590.4128
stage 2 maxld point: [6.00674608 1.00371385 0.71361789 8.92244966 0.39710989]
stage 2 posterior 1-sigma (diag): [0.00875634 0.0047461  0.01857287 0.10587555 0.00355281]
Ellipse prior (3σ) bounds:
  logm1: [5.98048, 6.03302]  (mu=6.00675)
  logm2: [0.98948, 1.01795]  (mu=1.00371)
  a: [0.65790, 0.76934]  (mu=0.71362)
  p0: [8.60482, 9.24008]  (mu=8.92245)
  e0: [0.38645, 0.40777]  (mu=0.39711)
Generating 500000 LHS points in Cholesky space...
LHS points inside ellipse: 82273 / 500000 (16.5%)
Evaluating log_density on 82273 points...
  [0/82273]  elapsed=0s  rate=0.0/s  ETA=0s
  [500/82273]  elapsed=248s  rate=2.0/s  ETA=40522s
  [1000/82273]  elapsed=495s  rate=2.0/s  ETA=40241s
  [1500/82273]  elapsed=742s  rate=2.0/s  ETA=39977s
  [2000/82273]  elapsed=990s  rate=2.0/s  ETA=39716s
  [2500/82273]  elapsed=1237s  rate=2.0/s  ETA=39463s
  [3000/82273]  elapsed=1484s  rate=2.0/s  ETA=39206s
  [3500/82273]  elapsed=1731s  rate=2.0/s  ETA=38956s
  [4000/82273]  elapsed=1978s  rate=2.0/s  ETA=38705s
  [4500/82273]  elapsed=2224s  rate=2.0/s  ETA=38434s
  [5000/82273]  elapsed=2470s  rate=2.0/s  ETA=38168s
  [5500/82273]  elapsed=2716s  rate=2.0/s  ETA=37907s
  [6000/82273]  elapsed=2962s  rate=2.0/s  ETA=37652s
  [6500/82273]  elapsed=3208s  rate=2.0/s  ETA=37396s
  [7000/82273]  elapsed=3454s  rate=2.0/s  ETA=37146s
  [7500/82273]  elapsed=3700s  rate=2.0/s  ETA=36890s
  [8000/82273]  elapsed=3946s  rate=2.0/s  ETA=36636s
  [8500/82273]  elapsed=4192s  rate=2.0/s  ETA=36383s
  [9000/82273]  elapsed=4438s  rate=2.0/s  ETA=36131s
  [9500/82273]  elapsed=4684s  rate=2.0/s  ETA=35880s
  [10000/82273]  elapsed=4930s  rate=2.0/s  ETA=35629s
  [10500/82273]  elapsed=5176s  rate=2.0/s  ETA=35378s
  [11000/82273]  elapsed=5422s  rate=2.0/s  ETA=35128s
  [11500/82273]  elapsed=5667s  rate=2.0/s  ETA=34878s
  [12000/82273]  elapsed=5913s  rate=2.0/s  ETA=34629s
  [12500/82273]  elapsed=6159s  rate=2.0/s  ETA=34380s
  [13000/82273]  elapsed=6405s  rate=2.0/s  ETA=34131s
  [13500/82273]  elapsed=6651s  rate=2.0/s  ETA=33882s
  [14000/82273]  elapsed=6897s  rate=2.0/s  ETA=33634s
  [14500/82273]  elapsed=7143s  rate=2.0/s  ETA=33386s
  [15000/82273]  elapsed=7389s  rate=2.0/s  ETA=33137s
  [15500/82273]  elapsed=7635s  rate=2.0/s  ETA=32889s
  [16000/82273]  elapsed=7881s  rate=2.0/s  ETA=32642s
